model_name,params,mae,rmse,mape,r2
linear_regression,{},0.3083927072978305,0.3777786242403254,0.34811074287008187,0.9991995200142202
ridge_regression,{'model__alpha': 0.1},0.4878901438933087,0.5663667706921205,0.5430707537760461,0.9983267807328674
ridge_regression,{'model__alpha': 1.0},0.7774311599812099,0.9517589445510394,0.861019886276941,0.9956342941232804
ridge_regression,{'model__alpha': 10.0},1.5439908436123935,1.8768782349686524,1.710545642093287,0.9834113861791889
gradient_boosting,"{'learning_rate': 0.08, 'max_depth': 2, 'n_estimators': 160}",3.114514100146265,3.653110125589371,3.4963941373653444,0.9317924221568409
gradient_boosting,"{'learning_rate': 0.08, 'max_depth': 2, 'n_estimators': 80}",3.2559535268687085,3.8194868835286826,3.593728128872712,0.9260838279311852
gradient_boosting,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 160}",3.362793220676691,4.00045338024678,3.7033138999454445,0.9213219468437411
gradient_boosting,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 160}",3.6295707642596056,4.254572611279374,3.9403983118548904,0.9101445271695501
extra_trees_lightgbm_style,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 80}",4.043506944444443,4.824617398001634,4.441184911098937,0.8877823326726025
extra_trees_lightgbm_style,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 160}",4.061519097222225,4.837666793627115,4.447390382749747,0.8873143537760274
extra_trees_lightgbm_style,"{'max_depth': 6, 'min_samples_leaf': 1, 'n_estimators': 160}",4.481583284896029,5.194112682968477,4.938166753619924,0.8691306626231895
extra_trees_lightgbm_style,"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 160}",4.648595130968837,5.234273875670632,5.12945058520804,0.866500705852518
random_forest,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 160}",4.507405960648149,5.263452425444336,4.983348660475399,0.8644564482914481
extra_trees_lightgbm_style,"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 80}",4.642813081041495,5.263788453403593,5.12244802123933,0.8658874226093554
extra_trees_lightgbm_style,"{'max_depth': 6, 'min_samples_leaf': 1, 'n_estimators': 80}",4.52078643686781,5.281898981084783,4.96373643779422,0.8657382313002667
random_forest,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 80}",4.58879298941799,5.286739942886287,5.075867087896782,0.8631675307551974
gradient_boosting,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 80}",4.505800187457053,5.317002813150956,4.739792251505878,0.8612246706411141
random_forest,"{'max_depth': 6, 'min_samples_leaf': 1, 'n_estimators': 80}",4.61560257821086,5.332473275669919,5.093888137568949,0.8602734468014462
random_forest,"{'max_depth': 6, 'min_samples_leaf': 1, 'n_estimators': 160}",4.559547474238947,5.340786379315513,5.033034179591271,0.8600458759550945
random_forest,"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 160}",4.704419445084805,5.432673198797672,5.15314799727134,0.8538012905843001
random_forest,"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 80}",4.779868017632548,5.462561133281301,5.246000283500094,0.8524921022070414
gradient_boosting,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 80}",5.5043402276474795,6.312095515829868,5.676465272265214,0.8018551300116211
median_baseline,{},14.777777777777779,18.239803872425647,15.140994195499168,-0.5833962552731741
